127.0.0.1 - - [03/Jan/2019:11:34:22 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:12 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:12 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:12 +0530] "GET /Project2Middleware/getimage?email=msrpsuman@gmail.com HTTP/1.1" 200 96533
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:18 +0530] "PUT /Project2Middleware/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:28 +0530] "PUT /Project2Middleware/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:28 +0530] "GET /Project2Middleware/notificationsnotviewed HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:30 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:31 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:31 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:31 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:31 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:32 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:33 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:33 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:33 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:33 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:33 +0530] "GET /Project2Middleware/getimage?email=rohit45@gmail.com HTTP/1.1" 200 273104
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:39 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:02:44 +0530] "GET /Project2Frontend/views/blogform.html HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:05 +0530] "POST /Project2Middleware/addblogpost HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:07 +0530] "GET /Project2Frontend/views/blogswaitingforapproval.html HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:07 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:10 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:13 +0530] "PUT /Project2Middleware/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:24 +0530] "PUT /Project2Middleware/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:24 +0530] "GET /Project2Middleware/notificationsnotviewed HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:27 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:30 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:30 +0530] "GET /Project2Middleware/blogswaitingforapproval HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:34 +0530] "GET /Project2Frontend/views/blogapprovalform.html HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:35 +0530] "GET /Project2Middleware/hasuserlikedblogpost/64 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:35 +0530] "GET /Project2Middleware/getblog/64 HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:03:58 +0530] "PUT /Project2Middleware/rejectblog/No%20content HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:04:00 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:04:00 +0530] "GET /Project2Middleware/blogswaitingforapproval HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:04:03 +0530] "PUT /Project2Middleware/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:04:12 +0530] "PUT /Project2Middleware/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:04:12 +0530] "GET /Project2Middleware/notificationsnotviewed HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:04:17 +0530] "GET /Project2Frontend/views/notificationdetail.html HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:04:17 +0530] "GET /Project2Middleware/notificationsnotviewed HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:04:17 +0530] "GET /Project2Middleware/getnotification/65 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:04:17 +0530] "PUT /Project2Middleware/updatenotification/65 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:04:17 +0530] "GET /Project2Middleware/notificationsnotviewed HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:12:47 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:12:48 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:12:48 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:12:48 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:12:48 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:12:48 +0530] "GET /Project2Middleware/getimage?email=Smith@gmail.com HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:12:53 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:12:54 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:12:54 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:12:54 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:12:54 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:12:59 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:13:00 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:13:00 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:13:00 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:13:00 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:54 +0530] "GET /Project2Frontend/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:54 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:56 +0530] "GET /Project2Middleware/getimage?email=msrpsuman@gmail.com HTTP/1.1" 200 96533
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:56 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:56 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:56 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:57 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:57 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:59 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:59 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:59 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:59 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:19:59 +0530] "GET /Project2Middleware/getimage?email=rohit45@gmail.com HTTP/1.1" 200 273104
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:20:03 +0530] "PUT /Project2Middleware/deleterequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:20:03 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:20:04 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:20:05 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:20:05 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:20:05 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:20:05 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:20:05 +0530] "GET /Project2Middleware/getimage?email=Smith@gmail.com HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:20:06 +0530] "GET /Project2Middleware/getimage?email=rohit45@gmail.com HTTP/1.1" 200 273104
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:20:08 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:21:14 +0530] "PUT /Project2Middleware/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:25:14 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:26:10 +0530] "GET /Project2Frontend/views/registrationform.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:27:53 +0530] "POST /Project2Middleware/register HTTP/1.1" 500 232
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:29:36 +0530] "POST /Project2Middleware/register HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:29:53 +0530] "PUT /Project2Middleware/login HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:29:53 +0530] "GET /Project2Middleware/getimage?email=peter@gmail.com HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:29:53 +0530] "GET /Project2Middleware/notificationsnotviewed HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:29:56 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:03 +0530] "GET /Project2Frontend/views/jobslist.html HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:04 +0530] "GET /Project2Middleware/alljobs HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:16 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:25 +0530] "POST /Project2Middleware/addblogpost HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:31 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:34 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:36 +0530] "GET /Project2Frontend/views/blogsapproved.html HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:38 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:39 +0530] "GET /Project2Middleware/blogsapproved HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:39 +0530] "GET /Project2Middleware/getimage?email=rohit45@gmail.com HTTP/1.1" 200 273104
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:40 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:43 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:44 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:44 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:44 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:44 +0530] "GET /Project2Middleware/getimage?email=Smith@gmail.com HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:44 +0530] "GET /Project2Middleware/getimage?email=msrpsuman@gmail.com HTTP/1.1" 200 96533
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:48 +0530] "POST /Project2Middleware/friendrequest HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:48 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:48 +0530] "GET /Project2Middleware/getimage?email=Smith@gmail.com HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:50 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:53 +0530] "GET /Project2Middleware/pendingrequests HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:53 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:53 +0530] "GET /Project2Middleware/friends HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:53 +0530] "GET /Project2Middleware/suggestedusers HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:30:54 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:32:33 +0530] "GET /Project2Frontend/resources/img/loading.gif HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:32:35 +0530] "GET /Project2Frontend/resources/img/loading-sm.gif HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:32:36 +0530] "POST /Project2Middleware/uploadprofilepic HTTP/1.1" 200 364542
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:32:43 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:32:53 +0530] "GET /Project2Frontend/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:32:53 +0530] "GET null HTTP/1.1" 400 2291
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:32:53 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:32:53 +0530] "GET /Project2Middleware/getimage?email=peter@gmail.com HTTP/1.1" 200 273104
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:32:58 +0530] "GET /Project2Frontend/views/updateform.html HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:32:58 +0530] "GET /Project2Middleware/getuser HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:10 +0530] "PUT /Project2Middleware/updateprofile HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:13 +0530] "GET /Project2Middleware/notificationsnotviewed HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:23 +0530] "PUT /Project2Middleware/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:37 +0530] "PUT /Project2Middleware/login HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:37 +0530] "GET /Project2Middleware/notificationsnotviewed HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [03/Jan/2019:12:33:37 +0530] "GET /Project2Middleware/getimage?email=rohit45@gmail.com HTTP/1.1" 200 273104
